-6.285313297092962159e+00 4.843551677101970654e+00
6.285313297093058971e+00 4.843551677102005293e+00
-2.393209047204409412e+00 7.494556840585985036e+00
2.393209047204475581e+00 7.494556840585956614e+00
-1.208888055650819471e+00 7.700491911393751998e+00
1.208888055651038407e+00 7.700491911393748445e+00
-7.380514960655636614e+00 2.251670387266555551e+00
7.380514960655168544e+00 2.251670387269786744e+00
-1.587783787742366379e-02 7.630714788268959659e+00
1.587783787729793797e-02 7.630714788642654511e+00
