-5.000000000000000000e+00 1.186201877844019012e-12 -1.162433200088548791e-11 7.967309592605845264e-11 4.408485735005682492e-10 2.087821399967805267e-09
-4.994994994994994997e+00 2.375312829135919136e-12 -2.327600765519271692e-11 1.595256259001955013e-10 8.826458443941889937e-10 4.179926659766454311e-09
-4.989989989989989994e+00 3.570237167219850489e-12 -3.498231838144747523e-11 2.397366292534499265e-10 1.326338131797318441e-09 6.280587497980796859e-09
-4.984984984984984990e+00 4.773881513069027878e-12 -4.677056705160942187e-11 3.204851505330498706e-10 1.772871395932202369e-09 8.394072181162407900e-09
-4.979979979979979987e+00 5.989161810673786080e-12 -5.866813116144159273e-11 4.019506358737315233e-10 2.223193237854030459e-09 1.052465412074879387e-08
-4.974974974974974984e+00 7.219010307237337732e-12 -7.070252563133314553e-11 4.843133267007476326e-10 2.678254883842660251e-09 1.267662039545695340e-08
-4.969969969969969981e+00 8.466382515036529512e-12 -8.290146538323959406e-11 5.677546516403613612e-10 3.139013158686212105e-09 1.485428021651060958e-08
-4.964964964964964977e+00 9.734264171552498767e-12 -9.529292783701252437e-11 6.524576174979027088e-10 3.606432452001081299e-09 1.706197335269054536e-08
-4.959959959959959974e+00 1.102567821426524433e-11 -1.079052154673462694e-10 7.386072001497464016e-10 4.081486681659502393e-09 1.930407853186449825e-08
-4.954954954954954971e+00 1.234369178633562223e-11 -1.207670185608588390e-10 8.263907361838093424e-10 4.565161258331447468e-09 2.158502183535615583e-08
-4.949949949949949968e+00 1.369142328926702552e-11 -1.339074783114424810e-10 9.159983161132878914e-10 5.058455055092050230e-09 2.390928510125042820e-08
-4.944944944944944965e+00 1.507204949854610072e-11 -1.473562503909525337e-10 1.007623179980296332e-09 5.562382385998613952e-09 2.628141435250277502e-08
-4.939939939939939961e+00 1.648881275820637229e-11 -1.611435691315496452e-10 1.101462116159821009e-09 6.077974997502338267e-09 2.870602826552373727e-08
-4.934934934934934958e+00 1.794502827023994407e-11 -1.753003124555561036e-10 1.197715864169847908e-09 6.606284076528997575e-09 3.118782669474425694e-08
-4.929929929929929955e+00 1.944409149479972497e-11 -1.898580676885308792e-10 1.296589522290707857e-09 7.148382279039647758e-09 3.373159926853177331e-08
-4.924924924924924952e+00 2.098948567718738662e-11 -2.048491983914028258e-10 1.398292960795482317e-09 7.705365782866797543e-09 3.634223407172154594e-08
-4.919919919919919948e+00 2.258478951770999190e-11 -2.203069123479206579e-10 1.503041241593767717e-09 8.278356368613358780e-09 3.902472642995003865e-08
-4.914914914914914945e+00 2.423368500061056052e-11 -2.362653308443796953e-10 1.611055045093116931e-09 8.868503532400635239e-09 4.178418781092813035e-08
-4.909909909909909942e+00 2.593996539843433042e-11 -2.527595593795650837e-10 1.722561105086080918e-09 9.476986634257779489e-09 4.462585485776937291e-08
