0.000000000000000000e+00 1.137513088114345164e-06 -2.011919209838037320e-06 2.947528622841156241e-06 -3.804633589929219434e-06 4.624184945674184483e-06 -5.247329203628839680e-06 5.289592794097423239e-06
1.001001001001000992e-02 2.281754839171385349e-06 -4.035447486779990323e-06 5.911676749043962618e-06 -7.630298002280568419e-06 9.273503889788515937e-06 -1.052277306797817492e-05 1.060720731965129616e-05
2.002002002002001985e-02 3.439395800685956991e-06 -6.082087710535712195e-06 8.908903902124698835e-06 -1.149781287183095123e-05 1.397282948807075404e-05 -1.585414532488487504e-05 1.598055856610962108e-05
3.003003003003002977e-02 4.617086817192108926e-06 -8.163301160432790023e-06 1.195559989854059230e-05 -1.542789855058665179e-05 1.874690447216401115e-05 -2.126910360684774694e-05 2.143719744293320347e-05
4.004004004004003969e-02 5.821496196623826472e-06 -1.029056991569566183e-05 1.506817194335135390e-05 -1.944128394384906031e-05 2.362046815843116450e-05 -2.679528874104798489e-05 2.700464789114085729e-05
5.005005005005004615e-02 7.059345856042652148e-06 -1.247545744055930858e-05 1.826312905885041669e-05 -2.355881090036401136e-05 2.861837876938580640e-05 -3.246045929579164350e-05 3.271053921431100233e-05
6.006006006006005954e-02 8.337446656869740890e-06 -1.472966769984369692e-05 2.155716431964582863e-05 -2.780153573369725936e-05 3.376573223612619750e-05 -3.829262210741650365e-05 3.858273433972781737e-05
7.007007007007007293e-02 9.662733126106321196e-06 -1.706510312726972441e-05 2.496723533460724645e-05 -3.219082841055428788e-05 3.908797810108459577e-05 -4.432015946126046247e-05 4.464945466644752275e-05
8.008008008008007939e-02 1.104229774778535594e-05 -1.949392174779852850e-05 2.851064338623906730e-05 -3.674846990424367090e-05 4.461103309586204635e-05 -5.057195355076805719e-05 5.093940210795749434e-05
9.009009009009008584e-02 1.248342499795189280e-05 -2.202859373639871326e-05 3.220511161108009974e-05 -4.149674817748882531e-05 5.036139292845385389e-05 -5.707750879373408903e-05 5.748187889233560572e-05
1.001001001001000923e-01 1.399362528669697744e-05 -2.468195767868405552e-05 3.606886258038317287e-05 -4.645855322797449365e-05 5.636624277738067317e-05 -6.386707254360357415e-05 6.430690564195481161e-05
1.101101101101101126e-01 1.558066896205778250e-05 -2.746727678363240047e-05 4.012069561833690761e-05 -5.165747160205762765e-05 6.265356695675529093e-05 -7.097175469626629144e-05 7.144533821742646859e-05
1.201201201201201191e-01 1.725262052284268376e-05 -3.039829528492404457e-05 4.438006417522086114e-05 -5.711788075668712837e-05 6.925225818580118262e-05 -7.842364665853377261e-05 7.892898377627635784e-05
1.301301301301301394e-01 1.901787318055168544e-05 -3.348929525517026543e-05 4.886715355492114341e-05 -6.286504362650200339e-05 7.619222686848987393e-05 -8.625594011313068746e-05 8.679071646547165478e-05
1.401401401401401459e-01 2.088518390445501298e-05 -3.675515404629942827e-05 5.360295927998030607e-05 -6.892520373207122015e-05 8.350451076349858564e-05 -9.450304598626995387e-05 9.506459313806513579e-05
1.501501501501501523e-01 2.286370907848873658e-05 -4.021140255949881575e-05 5.860936636263365827e-05 -7.532568114608245052e-05 9.122138540135414056e-05 -1.032007139974239299e-04 1.037859694576226556e-04
1.601601601601601588e-01 2.496304089385513027e-05 -4.387428453925818340e-05 6.390922973693093654e-05 -8.209496961677775490e-05 9.937647558418653956e-05 -1.123861531465038786e-04 1.129916167294971050e-04
1.701701701701701652e-01 2.719324459701226657e-05 -4.776081707811637183e-05 6.952645609490683536e-05 -8.926283513188949207e-05 1.080048682837522891e-04 -1.220981534710769204e-04 1.227198397751807384e-04
1.801801801801801717e-01 2.956489670904300076e-05 -5.188885251157693182e-05 7.548608735870749589e-05 -9.686041619157643231e-05 1.171432272351047830e-04 -1.323772093852664596e-04 1.330105961446911226e-04
1.901901901901901781e-01 3.208912432915237827e-05 -5.627714187623874062e-05 8.181438601047605157e-05 -1.049203260452454949e-04 1.268299095063048383e-04 -1.432656448924051070e-04 1.439056169420355430e-04
2.002002002002001846e-01 3.477764563220569355e-05 -6.094540009840146509e-05 8.853892249253065866e-05 -1.134767571345198162e-04 1.371050843087121885e-04 -1.548077409451493623e-04 1.554485295200691835e-04
2.102102102102102188e-01 3.764281166773790705e-05 -6.591437307517081961e-05 9.568866488182456030e-05 -1.225655879728496783e-04 1.480108542975195674e-04 -1.670498652094554106e-04 1.676849822833548643e-04
2.202202202202202252e-01 4.069764956569812530e-05 -7.120590680533713901e-05 1.032940710347586864e-04 -1.322244926812320609e-04 1.595913795981463161e-04 -1.800406044724016483e-04 1.806627718207873485e-04
